Number,Feature,Related Feature,Correlation
1,MDVP:Jitter(Abs),MDVP:Jitter(%),0.9357139812023576
2,MDVP:RAP,MDVP:Jitter(%),0.9902755852458324
3,MDVP:RAP,MDVP:Jitter(Abs),0.9229109688984641
4,MDVP:PPQ,MDVP:Jitter(%),0.9742563864635724
5,MDVP:PPQ,MDVP:Jitter(Abs),0.8977779044154587
6,MDVP:PPQ,MDVP:RAP,0.9573168930480012
7,Jitter:DDP,MDVP:Jitter(%),0.9902762153275699
8,Jitter:DDP,MDVP:Jitter(Abs),0.9229130329829802
9,Jitter:DDP,MDVP:RAP,0.9999996001041346
10,Jitter:DDP,MDVP:PPQ,0.9573191582070275
11,MDVP:Shimmer(dB),MDVP:Shimmer,0.9872578145507636
12,Shimmer:APQ3,MDVP:Shimmer,0.9876250519099831
13,Shimmer:APQ3,MDVP:Shimmer(dB),0.9631980852351487
14,Shimmer:APQ5,MDVP:Shimmer,0.9828354477070603
15,Shimmer:APQ5,MDVP:Shimmer(dB),0.9737505606234652
16,Shimmer:APQ5,Shimmer:APQ3,0.9600697638028992
17,MDVP:APQ,MDVP:Shimmer,0.9500828933606196
18,MDVP:APQ,MDVP:Shimmer(dB),0.9609767232961025
19,MDVP:APQ,Shimmer:APQ3,0.8966445192684656
20,MDVP:APQ,Shimmer:APQ5,0.9491461105717156
21,Shimmer:DDA,MDVP:Shimmer,0.9876256527301991
22,Shimmer:DDA,MDVP:Shimmer(dB),0.9632017037204204
23,Shimmer:DDA,Shimmer:APQ3,0.9999999636932835
24,Shimmer:DDA,Shimmer:APQ5,0.9600715928435893
25,Shimmer:DDA,MDVP:APQ,0.8966467659005807
26,NHR,MDVP:Jitter(%),0.9069586005733022
27,NHR,MDVP:RAP,0.9195207096034025
28,NHR,Jitter:DDP,0.9195481848735726
29,PPE,spread1,0.9624352932572805
